Recommender,Indicator,Value
TSEC,Precision,0.9317369490672568
TSEC,Recall,0.9310344827586207
TSEC,F1-score,0.9310410567684012
TSEC,Average Ratio,0.1141290171766778
TSEC,Time Cost,1.4590575695037842
LEA,Precision,0.4973197678613517
LEA,Recall,0.4990421455938697
LEA,F1-score,0.4149149841853639
LEA,Average Ratio,0.22736077040821875
LEA,Time Cost,1.0617492198944092
C-Store,Precision,0.7489191358180536
C-Store,Recall,0.7556270096463023
C-Store,F1-score,0.7445164788646859
C-Store,Average Ratio,0.115297347266881
C-Store,Time Cost,1.101073980331421
CodecDB,Precision,0.6350100963627534
CodecDB,Recall,0.6080246913580247
CodecDB,F1-score,0.554441317720007
CodecDB,Average Ratio,0.121142103909465
CodecDB,Time Cost,12.980295181274414
