Recommender,Indicator,Value
TSEC,Precision,0.9871001031991744
TSEC,Recall,0.9868421052631579
TSEC,F1-score,0.9867782443879062
TSEC,Average Ratio,0.07767072622330382
TSEC,Time Cost,0.02199077606201172
LEA,Precision,0.9746963562753037
LEA,Recall,0.9736842105263158
LEA,F1-score,0.9734158926728584
LEA,Average Ratio,0.08166318330884112
LEA,Time Cost,0.09787607192993164
C-Store,Precision,0.9915209326974033
C-Store,Recall,0.990990990990991
C-Store,F1-score,0.9910964255791842
C-Store,Average Ratio,0.07767072622330382
C-Store,Time Cost,1.0769309997558594
CodecDB,Precision,0.975366671018845
CodecDB,Recall,0.972972972972973
CodecDB,F1-score,0.9733195144959851
CodecDB,Average Ratio,0.07767072622330382
CodecDB,Time Cost,5.247763156890869
